GEO,PETROGRAPH,BL_AVG,BL_MIN,BL_MAX,COUNT
715.0,Phyllit,82.7666666666666667,13.000000000,298.00000000,30
760.0,Glimmerschiefer,75.2758620689655172,10.000000000,436.00000000,29
761.0,Paragneis,63.5806451612903226,9.0000000000,337.00000000,62
833.0,GranitGranodiorit,378.2631578947368421,12.000000000,1134.0000000,38
834.0,Granit,152.8979591836734694,14.000000000,1037.0000000,98
