X,Y,GID,STANDORT,EINHEIT_OD,MESSW_ODL,LON,LAT,PETROGRAPH
12.133665342854828,49.61929934502299,1,MP47/BY4/Pirk,nSvh-1,66.700000000,726331.0,5501021.0,SandsteinTonstein
11.842360380874277,49.9259763552214,2,MP45/BY3/H”lzlmhle,nSvh-1,88.300000000,704002.0,5534274.0,Orthogneis:granitischgranodioritisch
12.253804599122475,49.818788992946125,3,MP63/BY3/Sch”nficht,nSvh-1,142.80000000,734045.0,5523563.0,Granit
12.208715264218148,49.808981392996664,4,MP34/BY4/Lindenhof,nSvh-1,135.30000000,730849.0,5522333.0,Granit
11.742179271301406,49.81684881730802,5,MP43/BY13/Vorbach,nSvh-1,74.700000000,697257.0,5521875.0,Sandstein-Tonstein-WechsellagenmitdolomitischenEinlagerungen
12.209243880880797,49.99315425379503,6,MP38/BY3/Rosenbhl,nSvh-1,73.900000000,730009.0,5542806.0,AlkalibasaltBasanitTephritNephelinitTholeyitbasaltOlivinbasaltAndesit
11.90457842741747,49.80883229688482,7,MP48/BY3/Troglau,nSvh-1,67.400000000,708972.0,5521424.0,Sandstein-Tonstein-WechsellagenmitdolomitischenEinlagerungen
12.53603803932742,49.906359188296484,8,MP80/BY3/M„hring,nSvh-1,73.500000000,753882.0,5534216.0,Glimmerschiefer
12.071745121649707,49.63194544805179,9,MP48/BY4/Weiherhammer,nSvh-1,51.200000000,721802.0,5502242.0,SandKies
12.32852221515855,49.976619017986536,10,MP12/BY19/Pfaffenreuth,nSvh-1,82.100000000,738638.0,5541342.0,Phyllit
12.413871167997334,49.589665455589895,11,MP60/BY4/Moosbach,nSvh-1,85.600000000,746715.0,5498609.0,Paragneis
12.216400054841587,50.01296412846929,12,MP23/BY11/Konnersreuth,nSvh-1,72.500000000,730427.0,5545030.0,Phyllit
12.118757409633938,49.942023652341845,13,MP56/BY3/Herzog”d,nSvh-1,40.300000000,723762.0,5536848.0,Phyllit
12.416097837647941,49.874483774388615,14,MP83/BY3/Brunn,nSvh-1,79.100000000,745434.0,5530273.0,Glimmerschiefer
11.660360395949908,49.81181220060384,15,MP24/BY4/Thurndorf,nSvh-1,40.100000000,691392.0,5521103.0,Sandstein-Tonstein-WechsellagenmitdolomitischenEinlagerungen
12.410794368108505,49.81385652564403,16,MP18/BY19/Heimhof,nSvh-1,77.500000000,745360.0,5523517.0,Paragneis
12.414264801579591,49.907673538341285,17,MP82/BY3/Pilmersreuth,nSvh-1,71.900000000,745134.0,5533956.0,Glimmerschiefer
12.330878903265218,50.033707241721274,18,MP35/BY3/Egerteich,nSvh-1,82.400000000,738524.0,5547695.0,Phyllit
12.148760979839063,49.822116089221936,19,MP12/BY4/Pleisdorf,nSvh-1,152.40000000,726475.0,5523610.0,Glimmerschiefer
12.305904194728072,49.64565165802922,20,MP15/BY15/Waldau,nSvh-1,109.10000000,738640.0,5504483.0,Granit
12.268991316211094,49.56185903947388,21,MP19/BY15/D”llnitz,nSvh-1,112.80000000,736381.0,5495053.0,Paragneis
12.326579328654475,49.51739874505556,22,MP20/BY15/T„nnesberg,nSvh-1,84.400000000,740763.0,5490294.0,Paragneis
12.076280598774714,49.69946189458246,23,MP8/BY4/Weiden,nSvh-1,64.400000000,721822.0,5509760.0,TonsteinmitLagenvonSteinmergelundGips
11.821696342515065,49.737544376998834,24,MP26/BY4/Stegenthumbach,nSvh-1,60.400000000,703308.0,5513272.0,SandsteinSchluffsteinTonstein
12.20688353201957,49.86051110948864,25,MP59/BY3/Falkenberg,nSvh-1,165.80000000,730472.0,5528055.0,Granit
12.15214331772722,49.83285597072976,26,MP58/BY11/Bernstein,nSvh-1,57.200000000,726668.0,5524814.0,Granit
12.371430594290299,49.90153276556374,27,MP75/BY3/Wondreb,nSvh-1,73.800000000,742090.0,5533134.0,TonSandKies;Braunkohle
