X,Y,GID,HAUSART,BAUWEISE,AVG_MW,MIN_MW,MAX_MW,MESSW_1G,MESSW_EG,MESSW_KE,LON,LAT,PETROGRAPH
12.346642635269554,50.029213734144804,719,Einfamilienhaus,Massivhaus,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,739675.0,5547246.0,TonschieferQuarzitGer�llquarzit
12.379867252498169,49.97849768732107,720,Einfamilienhaus,Massivhaus,141.50000000,46.000000000,237.00000000,46.000000000,237.00000000,0.0000000000,742309.0,5541716.0,Phyllit
12.06063874816054,49.979567516298296,721,Mehrfamilienhaus,Massivhaus,77.500000000,67.000000000,88.000000000,67.000000000,0.0000000000,88.000000000,719422.0,5540849.0,KiesSandTon
11.854603432432448,49.86006677245312,722,Einfamilienhaus,Massivhaus,73.000000000,73.000000000,73.000000000,0.0000000000,73.000000000,0.0000000000,705160.0,5526981.0,Sandstein-Tonstein-WechsellagenmitdolomitischenEinlagerungen
12.100569965146105,49.8813089788407,723,Einfamilienhaus,Massivhaus,341.00000000,248.00000000,434.00000000,434.00000000,248.00000000,0.0000000000,722737.0,5530045.0,Granit
11.995511699067729,49.931663639324626,724,Mehrfamilienhaus,Massivhaus,311.50000000,50.000000000,573.00000000,50.000000000,0.0000000000,573.00000000,714967.0,5535335.0,Glimmerschiefer
12.34068847590997,49.886409139393955,725,Mehrfamilienhaus,Massivhaus,80.500000000,65.000000000,96.000000000,0.0000000000,96.000000000,65.000000000,739958.0,5531354.0,Glimmerschiefer
12.183054928099459,49.91292579610859,726,Doppelhaush„lfte,Massivhaus,128.00000000,55.000000000,201.00000000,0.0000000000,55.000000000,201.00000000,728512.0,5533808.0,Glimmerschiefer
11.892700894916894,49.8960779827651,727,Einfamilienhaus,Massivhaus,226.00000000,45.000000000,407.00000000,0.0000000000,407.00000000,45.000000000,707743.0,5531089.0,SandsteinSchluffsteinTonstein
11.900165464353691,49.898167407127914,728,Einfamilienhaus,Massivhaus,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,708270.0,5531342.0,SandsteinSchluffsteinTonstein
12.084501218429864,49.96636707076126,729,Einfamilienhaus,Massivhaus,60.500000000,25.000000000,96.000000000,0.0000000000,25.000000000,96.000000000,721193.0,5539452.0,Orthogneis:granitischgranodioritisch
12.07649015591081,49.9540390920255,730,Einfamilienhaus,Massivhaus,284.00000000,284.00000000,284.00000000,0.0000000000,284.00000000,0.0000000000,720675.0,5538058.0,Glimmerschiefer
12.056167052885453,49.97901078363576,731,Einfamilienhaus,Massivhaus,69.000000000,69.000000000,69.000000000,0.0000000000,0.0000000000,69.000000000,719104.0,5540774.0,KiesSandTon
12.003646026273948,49.93561835439029,732,Mehrfamilienhaus,Massivhaus,77.000000000,61.000000000,93.000000000,0.0000000000,61.000000000,93.000000000,715533.0,5535798.0,Glimmerschiefer
12.005173147871343,49.93260999216305,733,Einfamilienhaus,Massivhaus,33.500000000,32.000000000,35.000000000,0.0000000000,32.000000000,35.000000000,715656.0,5535468.0,Glimmerschiefer
11.974025253207431,49.89031251479221,734,Einfamilienhaus,Massivhaus,65.000000000,65.000000000,65.000000000,0.0000000000,65.000000000,0.0000000000,713608.0,5530677.0,PhyllitKalkphyllitQuarzitGrauwacke
12.52756488915747,49.913374386274405,735,Einfamilienhaus,Massivhaus,61.500000000,53.000000000,70.000000000,0.0000000000,53.000000000,70.000000000,753237.0,5534967.0,Glimmerschiefer
12.073218378784494,49.95477363659875,736,Mehrfamilienhaus,Massivhaus,64.000000000,64.000000000,64.000000000,0.0000000000,64.000000000,0.0000000000,720437.0,5538130.0,Glimmerschiefer
12.106578822161167,49.8812199577765,737,Mehrfamilienhaus,Massivhaus,385.50000000,210.00000000,561.00000000,0.0000000000,561.00000000,210.00000000,723169.0,5530053.0,Granit
12.405266230287145,49.84084827434916,738,Einfamilienhaus,Massivhaus,132.00000000,19.000000000,245.00000000,0.0000000000,19.000000000,245.00000000,744826.0,5526499.0,Paragneis
12.033273154003423,49.94995142556922,739,,,78.000000000,52.000000000,104.00000000,0.0000000000,104.00000000,52.000000000,717594.0,5537477.0,KiesSandTon
12.075867149982793,49.95345287338781,740,Mehrfamilienhaus,Massivhaus,408.00000000,408.00000000,408.00000000,0.0000000000,408.00000000,0.0000000000,720633.0,5537991.0,Glimmerschiefer
12.112237484905718,49.85253116341896,741,Einfamilienhaus,Fertighaus,58.000000000,50.000000000,66.000000000,0.0000000000,50.000000000,66.000000000,723708.0,5526881.0,DioritRedwitzit
12.107455981579156,49.85607822680259,742,Einfamilienhaus,Massivhaus,69.500000000,59.000000000,80.000000000,0.0000000000,59.000000000,80.000000000,723348.0,5527261.0,DioritRedwitzit
11.901345319862413,49.89694137766785,743,Mehrfamilienhaus,Massivhaus,38.000000000,38.000000000,38.000000000,0.0000000000,38.000000000,0.0000000000,708360.0,5531209.0,SandsteinSchluffsteinTonstein
11.997766366282793,49.9311645173543,744,Einfamilienhaus,Massivhaus,64.500000000,46.000000000,83.000000000,0.0000000000,46.000000000,83.000000000,715131.0,5535286.0,Glimmerschiefer
12.175750502650502,49.91180376089219,745,Einfamilienhaus,Massivhaus,289.50000000,63.000000000,516.00000000,0.0000000000,63.000000000,516.00000000,727993.0,5533661.0,Glimmerschiefer
12.179674391942882,49.99064048640179,746,Einfamilienhaus,Massivhaus,36.000000000,25.000000000,47.000000000,0.0000000000,25.000000000,47.000000000,727902.0,5542436.0,AlkalibasaltBasanitTephritNephelinitTholeyitbasaltOlivinbasaltAndesit
12.420269832536261,49.986938890591574,747,Einfamilienhaus,Massivhaus,223.00000000,65.000000000,381.00000000,381.00000000,65.000000000,0.0000000000,745162.0,5542786.0,Phyllit
12.420121168092704,49.988382773481916,748,Einfamilienhaus,Massivhaus,246.50000000,101.00000000,392.00000000,0.0000000000,101.00000000,392.00000000,745144.0,5542946.0,Phyllit
12.187727049232997,49.91004438799821,749,Doppelhaush„lfte,Massivhaus,41.500000000,35.000000000,48.000000000,0.0000000000,35.000000000,48.000000000,728861.0,5533502.0,Glimmerschiefer
12.317779781594755,49.884746454875085,750,Einfamilienhaus,Massivhaus,83.000000000,57.000000000,109.00000000,0.0000000000,57.000000000,109.00000000,738321.0,5531096.0,KiesSandTon
12.348247868735424,49.873514306184276,751,Einfamilienhaus,Massivhaus,52.000000000,52.000000000,52.000000000,0.0000000000,52.000000000,52.000000000,740565.0,5529945.0,Granit
12.348074453685184,49.87442800116921,752,Einfamilienhaus,Massivhaus,52.000000000,52.000000000,52.000000000,0.0000000000,52.000000000,52.000000000,740548.0,5530046.0,Granit
12.347880254594948,49.87303010702748,753,Einfamilienhaus,Massivhaus,52.000000000,52.000000000,52.000000000,0.0000000000,52.000000000,52.000000000,740541.0,5529890.0,Granit
12.34942211310581,49.87438903358311,754,Einfamilienhaus,Massivhaus,52.000000000,52.000000000,52.000000000,0.0000000000,52.000000000,52.000000000,740645.0,5530046.0,Granit
11.975282644626072,49.92183011981308,755,Mehrfamilienhaus,Massivhaus,80.500000000,75.000000000,86.000000000,0.0000000000,75.000000000,86.000000000,713559.0,5534184.0,Glimmerschiefer
12.290246543307859,50.03592914379674,756,Einfamilienhaus,Massivhaus,152.00000000,72.000000000,232.00000000,0.0000000000,72.000000000,232.00000000,735604.0,5547813.0,Phyllit
12.095951940732755,49.88050585986614,757,Einfamilienhaus,Massivhaus,200.00000000,99.000000000,301.00000000,0.0000000000,99.000000000,301.00000000,722409.0,5529942.0,Granit
12.07586111037064,49.95445162863713,758,Einfamilienhaus,Massivhaus,43.500000000,9.0000000000,78.000000000,0.0000000000,9.0000000000,78.000000000,720628.0,5538102.0,Glimmerschiefer
12.100539249672158,49.88756234330656,759,Einfamilienhaus,Massivhaus,518.00000000,268.00000000,768.00000000,268.00000000,0.0000000000,768.00000000,722706.0,5530740.0,Granit
12.18906031971718,49.915891446538375,760,Reihenhaus,Massivhaus,64.000000000,30.000000000,98.000000000,0.0000000000,30.000000000,98.000000000,728929.0,5534156.0,Glimmerschiefer
12.314101268098685,49.78305257013727,761,Mehrfamilienhaus,Massivhaus,661.50000000,526.00000000,797.00000000,0.0000000000,526.00000000,797.00000000,738557.0,5519781.0,Granit
12.127887631195266,49.89058765577266,762,Einfamilienhaus,Massivhaus,68.500000000,30.000000000,107.00000000,0.0000000000,30.000000000,107.00000000,724656.0,5531158.0,Granit
12.142772182680034,49.846200695312604,763,Einfamilienhaus,Massivhaus,33.500000000,32.000000000,35.000000000,0.0000000000,32.000000000,35.000000000,725932.0,5526269.0,DioritRedwitzit
