X,Y,STANDORT,VERFAHREN,PARAMETER,EINHEIT,MESSW_BL,LON,LAT,GEO,STRATIGRAP,GENESE,PETROGRAPH,BEMERKUNGE,name,type,name_1,type_1
11.954216406003969,49.616114016307151,StSch 4251 Oberpfalz 125,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,6.0000000000,713386,5500142,608,"Trias, Buntsandstein ungegliedert",,"Sandstein, Schluffstein, Tonstein",,,,,
11.971949852808693,49.633337998816138,StSch 4251 Oberpfalz 126,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,7.0000000000,714591,5502107,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,
11.935650325085167,49.635029608970505,StSch 4251 Oberpfalz 127,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,7.0000000000,711963,5502192,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,
11.911600604781514,49.642870599836641,StSch 4251 Oberpfalz 128,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,9.0000000000,710193,5502996,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,
11.9321839949225,49.657329887648324,StSch 4251 Oberpfalz 129,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,7.0000000000,711616,5504661,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,
11.979047751972686,49.660657912261001,StSch 4251 Oberpfalz 130,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,5.0000000000,714983,5505164,608,"Trias, Buntsandstein ungegliedert",,"Sandstein, Schluffstein, Tonstein",,,,,forest
11.991327070978622,49.693628287657006,StSch 4251 Oberpfalz 131,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,5.0000000000,715723,5508864,85,"Weichsel-(Wrm-)Kaltzeit; Niederterrasse",fluviatil,"Sand, Kies","z.T. mit Auenlehmdecke (/T,U,S/Lf); z.T. Niederungssande (Talsande) eingeschlossen",,,,
11.968197505771242,49.655673818132229,StSch 4251 Oberpfalz 132,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,5.0000000000,714222,5504579,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,forest
12.351131739987357,49.605959380378607,StSch 4251 Oberpfalz 133,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,12.0000000000,742101,5500216,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.405973026711733,49.614343833766462,StSch 4251 Oberpfalz 134,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,15.0000000000,746020,5501326,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
12.451398286471257,49.613662643777772,StSch 4251 Oberpfalz 135,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,57.0000000000,749304,5501400,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.489245274426967,49.606543481646028,StSch 4251 Oberpfalz 136,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,50.0000000000,752074,5500735,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,forest
12.467745547635918,49.641838862224823,StSch 4251 Oberpfalz 137,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,168.0000000000,750340,5504586,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.434201018332971,49.632169164454872,StSch 4251 Oberpfalz 138,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,39.0000000000,747968,5503400,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
12.387999377361309,49.543470004729052,StSch 4251 Oberpfalz 139,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,59.0000000000,745077,5493390,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
12.361843548951933,49.639882500310605,StSch 4251 Oberpfalz 140,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,23.0000000000,742706,5504021,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.355477700017623,49.658106538389134,StSch 4251 Oberpfalz 141,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,29.0000000000,742156,5506026,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.388999863816142,49.663040277540318,StSch 4251 Oberpfalz 142,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,59.0000000000,744550,5506683,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.43365465944494,49.664548347756423,StSch 4251 Oberpfalz 143,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,21.0000000000,747764,5506997,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
12.47806301573806,49.661394995567932,StSch 4251 Oberpfalz 144,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,101.0000000000,750984,5506794,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
12.474632487751817,49.687536138174096,StSch 4251 Oberpfalz 145,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,64.0000000000,750602,5509688,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
12.443554513215185,49.679495281656131,StSch 4251 Oberpfalz 146,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,31.0000000000,748402,5508691,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
12.39923038189225,49.67855702645376,StSch 4251 Oberpfalz 147,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,25.0000000000,745210,5508441,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,,,forest
12.345212711567976,49.693708287460083,StSch 4251 Oberpfalz 148,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,29.0000000000,741239,5509950,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
12.520182531521566,49.604921869147482,StSch 4251 Oberpfalz 149,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,106.0000000000,754317,5500659,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.511559069163409,49.628235346878441,StSch 4251 Oberpfalz 150,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,29.0000000000,753573,5503221,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,forest
12.503202779376521,49.662507676373956,StSch 4251 Oberpfalz 151,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,134.0000000000,752792,5507002,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
12.06852620409923,49.582719827288727,StSch 4251 Oberpfalz 152,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,15.0000000000,721793,5496761,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,
12.111024911931642,49.582573884671717,StSch 4251 Oberpfalz 153,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,16.0000000000,724865,5496871,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,forest
12.143923554049728,49.586992209901453,StSch 4251 Oberpfalz 154,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,23.0000000000,727222,5497461,24,Holoz„n,fluviatil,"Sand, Kies, Schotter",z.T. unter Aulehmdecke [in den Alpen mit pleistoz„nen Terassen und Hangablagerungen,,residential,,
12.143129661356207,49.561516676839609,StSch 4251 Oberpfalz 155,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,31.0000000000,727283,5494627,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,forest
11.99265922283424,49.764234261966386,StSch 4251 Oberpfalz 94,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,11.0000000000,715506,5516716,596,"Trias, Mittlerer Keuper, Stubensandstein",,Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen,Sandsteinkeuper,,,,
11.983905171241172,49.792421107153721,StSch 4251 Oberpfalz 95,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,27.0000000000,714751,5519824,546,"Kreide, Oberkreide",limnisch - fluviatile Ablagerungen,"Sand, Ton; gelegentlich Konglomerat",epikontinentale Fazies,,,,
11.933317780296587,49.784321565355242,StSch 4251 Oberpfalz 96,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,5.0000000000,711146,5518780,596,"Trias, Mittlerer Keuper, Stubensandstein",,Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen,Sandsteinkeuper,,,,
11.895879019046379,49.785129066555115,StSch 4251 Oberpfalz 97,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,5.0000000000,708448,5518765,596,"Trias, Mittlerer Keuper, Stubensandstein",,Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen,Sandsteinkeuper,,,,
11.747512590006393,49.786072763193005,StSch 4251 Oberpfalz 98,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,23.0000000000,697766,5518468,597,"Trias, Mittlerer Keuper, Gipskeuper, Schilfsandstein",,Tonstein mit Lagen von Steinmergel und Gips,,,,,
12.193347337751881,49.706852486154943,StSch 4251 Oberpfalz 99,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,62.0000000000,730227,5510934,24,Holoz„n,fluviatil,"Sand, Kies, Schotter",z.T. unter Aulehmdecke [in den Alpen mit pleistoz„nen Terassen und Hangablagerungen,,,,
12.246329935838807,49.703974593064167,StSch 4251 Oberpfalz 100,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,114.0000000000,734060,5510778,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.27516311360875,49.708200275910585,StSch 4251 Oberpfalz 101,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,71.0000000000,736118,5511338,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.323822755994396,49.712750638674997,StSch 4251 Oberpfalz 102,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,436.0000000000,739603,5511998,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,,,forest
12.312750636635487,49.741066671790627,StSch 4251 Oberpfalz 103,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,12.0000000000,738666,5515110,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,
12.273179406200432,49.741194020290948,StSch 4251 Oberpfalz 104,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,38.0000000000,735815,5514999,858,Oberes Proterozoikum,berwiegend metamorph,,Typische Gesteine: Amphibolite,,,,
12.231182587615733,49.726341880372303,StSch 4251 Oberpfalz 105,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,23.0000000000,732861,5513217,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
